"","ID","X","CRUISE","TOW_NO","TOW_TYPE_ID","TOW_DATE","YEAR","STRATA_ID","MIDPOINT_LONG","MIDPOINT_LAT","GEAR_TYPE_ID","GEAR_TYPE","DEPTH_M","BOTTOM_TEMP"
"2099","BI2011.139",2193,"BI2011",139,5,"2011-06-29",2011,24,-66.27968333,43.81290833,3,"Digby gear",-57.05249786,8.8
"2100","BI2011.14",2068,"BI2011",14,1,"2011-06-20",2011,22,-66.27856667,44.153675,3,"Digby gear",-33.71437073,8.3
"2101","BI2011.140",2194,"BI2011",140,1,"2011-06-29",2011,24,-66.25815833,43.849625,3,"Digby gear",-41.71223831,9.6
"2102","BI2011.141",2195,"BI2011",141,1,"2011-06-29",2011,24,-66.24934167,43.85890833,3,"Digby gear",-37.96218491,9.6
"2103","BI2011.142",2196,"BI2011",142,1,"2011-06-29",2011,24,-66.244625,43.87054167,3,"Digby gear",-34.89414597,9.9
"2104","BI2011.143",2197,"BI2011",143,1,"2011-06-29",2011,24,-66.24111667,43.88255833,3,"Digby gear",-32.92514038,10
"2105","BI2011.144",2198,"BI2011",144,1,"2011-06-29",2011,24,-66.21995,43.88538333,3,"Digby gear",-30.72735023,10.4
"2106","BI2011.145",2199,"BI2011",145,1,"2011-06-29",2011,24,-66.25393333,43.77991667,3,"Digby gear",-47.80397415,9.5
"2107","BI2011.146",2200,"BI2011",146,5,"2011-06-29",2011,24,-66.24429167,43.7613,3,"Digby gear",-43.11387634,9.6
"2108","BI2011.147",2201,"BI2011",147,1,"2011-06-29",2011,24,-66.254875,43.73758333,3,"Digby gear",-54.15011215,9.2
"2109","BI2011.148",2202,"BI2011",148,1,"2011-06-29",2011,24,-66.24106667,43.73139167,3,"Digby gear",-49.14990997,9.4
"2110","BI2011.149",2203,"BI2011",149,1,"2011-06-29",2011,24,-66.23616667,43.70748333,3,"Digby gear",-45.23175812,9.3
"2111","BI2011.15",2069,"BI2011",15,1,"2011-06-20",2011,23,-66.31575833,44.11298333,3,"Digby gear",-45.0395546,8.5
"2112","BI2011.150",2204,"BI2011",150,1,"2011-06-29",2011,24,-66.2325,43.69038333,3,"Digby gear",-47.89703751,9.2
"2113","BI2011.151",2205,"BI2011",151,5,"2011-06-29",2011,24,-66.19666667,43.70160833,3,"Digby gear",-29.22602653,9.9
"2114","BI2011.152",2206,"BI2011",152,1,"2011-06-29",2011,24,-66.2039,43.720375,3,"Digby gear",-35.44712448,10
"2115","BI2011.153",2207,"BI2011",153,1,"2011-06-29",2011,24,-66.23931667,43.93695,3,"Digby gear",-29.45770836,10.6
"2116","BI2011.154",2208,"BI2011",154,1,"2011-06-29",2011,24,-66.222725,43.94539167,3,"Digby gear",-27.74847984,10.7
"2117","BI2011.155",2209,"BI2011",155,1,"2011-06-29",2011,24,-66.1987,43.99694167,3,"Digby gear",-17.37684441,11.7
"2118","BI2011.156",2210,"BI2011",156,1,"2011-06-29",2011,23,-66.20506667,44.00201667,3,"Digby gear",-18.7256279,11.4
"2119","BI2011.157",2211,"BI2011",157,1,"2011-06-29",2011,23,-66.27155,44.03240833,3,"Digby gear",-28.12563515,10.3
"2120","BI2011.158",2212,"BI2011",158,1,"2011-06-29",2011,23,-66.2521,44.058975,3,"Digby gear",-28.55641174,10.3
"2121","BI2011.159",2213,"BI2011",159,1,"2011-06-29",2011,23,-66.25636667,44.09158333,3,"Digby gear",-27.11423111,10.5
"2122","BI2011.16",2070,"BI2011",16,1,"2011-06-20",2011,23,-66.31685833,44.101575,3,"Digby gear",-40.87702942,8.4
"2123","BI2011.160",2214,"BI2011",160,5,"2011-06-29",2011,23,-66.278425,44.10369167,3,"Digby gear",-35.4207077,10.3
"2124","BI2011.17",2071,"BI2011",17,5,"2011-06-20",2011,23,-66.33595833,44.08934167,3,"Digby gear",-50.91638947,8.1
"2125","BI2011.18",2072,"BI2011",18,1,"2011-06-21",2011,23,-66.31858333,44.07666667,3,"Digby gear",-48.73885727,8.4
"2126","BI2011.19",2073,"BI2011",19,5,"2011-06-21",2011,23,-66.30683333,44.06225,3,"Digby gear",-43.82731247,8.6
"2127","BI2011.2",2056,"BI2011",2,1,"2011-06-20",2011,22,-66.18023333,44.23624167,3,"Digby gear",-16.66202354,9.6
"2128","BI2011.20",2074,"BI2011",20,1,"2011-06-21",2011,23,-66.41204167,44.07771667,3,"Digby gear",-72.73670197,8
"2129","BI2011.21",2075,"BI2011",21,1,"2011-06-21",2011,23,-66.41943333,44.06505833,3,"Digby gear",-67.71888733,7.8
"2130","BI2011.22",2076,"BI2011",22,5,"2011-06-21",2011,23,-66.41984167,44.05363333,3,"Digby gear",-65.91838074,7.8
"2131","BI2011.23",2077,"BI2011",23,1,"2011-06-21",2011,23,-66.43765,44.05055,3,"Digby gear",-68.42665863,7.7
"2132","BI2011.24",2078,"BI2011",24,1,"2011-06-21",2011,23,-66.45441667,44.08055,3,"Digby gear",-84.05374146,7.7
"2133","BI2011.25",2079,"BI2011",25,1,"2011-06-21",2011,23,-66.49824167,44.08264167,3,"Digby gear",-76.2559433,7.7
"2134","BI2011.26",2080,"BI2011",26,1,"2011-06-21",2011,23,-66.59545833,44.07171667,3,"Digby gear",-98.59501648,7.4
"2135","BI2011.27",2081,"BI2011",27,5,"2011-06-21",2011,23,-66.6324,44.07678333,3,"Digby gear",-90.47930908,7.4
"2136","BI2011.28",2082,"BI2011",28,5,"2011-06-21",2011,23,-66.70781667,44.07480833,3,"Digby gear",-108.1600037,7.4
"2137","BI2011.29",2083,"BI2011",29,1,"2011-06-21",2011,23,-66.707575,44.107275,3,"Digby gear",-94.52999878,7.4
"2138","BI2011.3",2057,"BI2011",3,1,"2011-06-20",2011,22,-66.195,44.23685833,3,"Digby gear",-15.35454082,9.2
"2139","BI2011.30",2084,"BI2011",30,5,"2011-06-21",2011,23,-66.72214167,44.113775,3,"Digby gear",-93.16000366,7.4
"2140","BI2011.31",2085,"BI2011",31,1,"2011-06-21",2011,23,-66.71645833,44.14448333,3,"Digby gear",-77.93000031,7.5
"2141","BI2011.32",2086,"BI2011",32,1,"2011-06-21",2011,23,-66.652375,44.13255833,3,"Digby gear",-101.25,7.5
"2142","BI2011.33",2087,"BI2011",33,1,"2011-06-21",2011,23,-66.61216667,44.16891667,3,"Digby gear",-89.16000366,7.6
"2143","BI2011.34",2088,"BI2011",34,1,"2011-06-21",2011,23,-66.59035,44.19760833,3,"Digby gear",-97.77999878,7.5
"2144","BI2011.35",2089,"BI2011",35,1,"2011-06-21",2011,23,-66.52933333,44.18831667,3,"Digby gear",-83.23000336,7.8
"2145","BI2011.36",2090,"BI2011",36,5,"2011-06-21",2011,23,-66.50195833,44.210875,3,"Digby gear",-87.83000183,7.8
"2146","BI2011.37",2091,"BI2011",37,5,"2011-06-21",2011,23,-66.39165833,44.18875,3,"Digby gear",-69.77825928,8.4
"2147","BI2011.38",2092,"BI2011",38,1,"2011-06-21",2011,23,-66.37108333,44.16759167,3,"Digby gear",-63.04806137,8.1
"2148","BI2011.39",2093,"BI2011",39,5,"2011-06-21",2011,23,-66.36505,44.16406667,3,"Digby gear",-60.86261749,8.2
"2149","BI2011.4",2058,"BI2011",4,1,"2011-06-20",2011,22,-66.18571667,44.25408333,3,"Digby gear",-19.96992874,9.2
"2150","BI2011.40",2094,"BI2011",40,1,"2011-06-21",2011,23,-66.33864167,44.16588333,3,"Digby gear",-56.00379181,8.2
"2151","BI2011.41",2095,"BI2011",41,1,"2011-06-21",2011,23,-66.31891667,44.16375,3,"Digby gear",-46.78030396,8.4
"2152","BI2011.42",2096,"BI2011",42,1,"2011-06-21",2011,23,-66.35765,44.14114167,3,"Digby gear",-62.19212341,8.2
"2153","BI2011.43",2097,"BI2011",43,1,"2011-06-22",2011,23,-66.34474167,44.12384167,3,"Digby gear",-56.38799667,8.3
"2154","BI2011.44",2098,"BI2011",44,1,"2011-06-22",2011,23,-66.38115,44.09715,3,"Digby gear",-66.39615631,8.1
"2155","BI2011.45",2099,"BI2011",45,5,"2011-06-22",2011,24,-66.68954167,43.83605,3,"Digby gear",-93.59068298,8.1
"2156","BI2011.46",2100,"BI2011",46,5,"2011-06-22",2011,24,-66.70720833,43.83559167,3,"Digby gear",-104.00383,8
"2157","BI2011.47",2101,"BI2011",47,5,"2011-06-22",2011,24,-66.72036667,43.856725,3,"Digby gear",-118.134697,7.9
"2158","BI2011.48",2102,"BI2011",48,1,"2011-06-22",2011,24,-66.7701,43.89280833,3,"Digby gear",-112.3844452,7.7
"2159","BI2011.49",2103,"BI2011",49,5,"2011-06-22",2011,24,-66.7174,43.95243333,3,"Digby gear",-132.6631317,7.9
"2160","BI2011.5",2059,"BI2011",5,1,"2011-06-20",2011,22,-66.17783333,44.29015,3,"Digby gear",-24.01725006,9
"2161","BI2011.50",2104,"BI2011",50,5,"2011-06-22",2011,24,-66.73633333,43.99228333,3,"Digby gear",-104.6457214,7.8
"2162","BI2011.51",2105,"BI2011",51,1,"2011-06-22",2011,24,-66.684275,43.99781667,3,"Digby gear",-97.55570221,7.9
"2163","BI2011.52",2106,"BI2011",52,5,"2011-06-22",2011,23,-66.76136667,44.02955,3,"Digby gear",-126.1399994,7.8
"2164","BI2011.53",2107,"BI2011",53,1,"2011-06-22",2011,23,-66.76043333,44.06159167,3,"Digby gear",-111.0999985,7.7
"2165","BI2011.54",2108,"BI2011",54,3,"2011-06-23",2011,22,-66.329075,44.24458333,3,"Digby gear",-37.22353745,8.9
"2166","BI2011.55",2109,"BI2011",55,3,"2011-06-23",2011,22,-66.34850833,44.247425,3,"Digby gear",-12.61598682,9
"2167","BI2011.56",2110,"BI2011",56,1,"2011-06-23",2011,22,-66.35333333,44.2332,3,"Digby gear",-52.03384018,8.8
"2168","BI2011.57",2111,"BI2011",57,3,"2011-06-23",2011,22,-66.27035,44.285425,3,"Digby gear",-44.8393898,9.3
"2169","BI2011.58",2112,"BI2011",58,3,"2011-06-23",2011,22,-66.274275,44.30055,3,"Digby gear",-20.81390762,9.2
"2170","BI2011.59",2113,"BI2011",59,3,"2011-06-23",2011,22,-66.23955,44.33795,3,"Digby gear",-30.67107201,9.4
"2171","BI2011.6",2060,"BI2011",6,5,"2011-06-20",2011,22,-66.16631667,44.327,3,"Digby gear",-24.03606796,9.1
"2172","BI2011.60",2114,"BI2011",60,1,"2011-06-23",2011,22,-66.22559167,44.34683333,3,"Digby gear",-33.2745285,9
"2173","BI2011.61",2115,"BI2011",61,5,"2011-06-23",2011,22,-66.213725,44.34785,3,"Digby gear",-49.169384,8.8
"2174","BI2011.62",2116,"BI2011",62,1,"2011-06-23",2011,22,-66.20915,44.3615,3,"Digby gear",-45.88999939,8.9
"2175","BI2011.63",2117,"BI2011",63,1,"2011-06-23",2011,22,-66.166525,44.40199167,3,"Digby gear",-11.39999771,10.3
"2176","BI2011.64",2118,"BI2011",64,1,"2011-06-23",2011,22,-66.15455,44.41603333,3,"Digby gear",-17,9.7
"2177","BI2011.65",2119,"BI2011",65,5,"2011-06-23",2011,22,-66.054175,44.42625833,3,"Digby gear",-15.12064934,10.3
"2178","BI2011.66",2120,"BI2011",66,5,"2011-06-23",2011,22,-66.04469167,44.44754167,3,"Digby gear",-13.12973785,10.1
"2179","BI2011.67",2121,"BI2011",67,3,"2011-06-23",2011,22,-66.06794167,44.450675,3,"Digby gear",-15.03285027,10
"2180","BI2011.68",2122,"BI2011",68,5,"2011-06-23",2011,22,-66.075375,44.46461667,3,"Digby gear",-16.24827576,10.2
"2181","BI2011.69",2123,"BI2011",69,1,"2011-06-23",2011,22,-66.043675,44.4742,3,"Digby gear",-19.83071709,10.3
"2182","BI2011.7",2061,"BI2011",7,1,"2011-06-20",2011,22,-66.1509,44.33871667,3,"Digby gear",-18.5544529,9.3
"2183","BI2011.70",2124,"BI2011",70,3,"2011-06-23",2011,22,-66.00841667,44.47308333,3,"Digby gear",-8.05408287,10.4
"2184","BI2011.71",2125,"BI2011",71,3,"2011-06-23",2011,22,-65.98226667,44.49319167,3,"Digby gear",-33.85419083,10.6
"2185","BI2011.72",2126,"BI2011",72,3,"2011-06-23",2011,22,-65.97061667,44.5055,3,"Digby gear",-17.06444931,10.7
"2186","BI2011.73",2127,"BI2011",73,3,"2011-06-23",2011,22,-65.96070833,44.50431667,3,"Digby gear",-26.0432663,10.7
"2187","BI2011.74",2128,"BI2011",74,3,"2011-06-23",2011,22,-66.156475,44.30518333,3,"Digby gear",-19.14566994,10
"2188","BI2011.75",2129,"BI2011",75,3,"2011-06-23",2011,22,-66.19086667,44.29423333,3,"Digby gear",-22.82233238,9.2
"2189","BI2011.76",2130,"BI2011",76,3,"2011-06-23",2011,22,-66.20275,44.27570833,3,"Digby gear",-26.85300064,9
"2190","BI2011.77",2131,"BI2011",77,1,"2011-06-26",2011,24,-66.40278333,43.82239167,3,"Digby gear",-57.8038559,8.7
"2191","BI2011.78",2132,"BI2011",78,1,"2011-06-26",2011,24,-66.4807,43.80051667,3,"Digby gear",-75.00826263,8
"2192","BI2011.79",2133,"BI2011",79,1,"2011-06-26",2011,24,-66.56041667,43.79545,3,"Digby gear",-111.5431976,7.8
"2193","BI2011.8",2062,"BI2011",8,5,"2011-06-20",2011,22,-66.13821667,44.35845,3,"Digby gear",-17.32877159,9.2
"2194","BI2011.80",2134,"BI2011",80,1,"2011-06-26",2011,24,-66.58878333,43.80394167,3,"Digby gear",-107.7450867,7.7
"2195","BI2011.81",2135,"BI2011",81,1,"2011-06-26",2011,24,-66.559925,43.83816667,3,"Digby gear",-89.97822571,7.8
"2196","BI2011.82",2136,"BI2011",82,1,"2011-06-26",2011,24,-66.58885,43.87388333,3,"Digby gear",-89.76914215,7.8
"2197","BI2011.83",2137,"BI2011",83,1,"2011-06-26",2011,24,-66.59565833,43.88574167,3,"Digby gear",-80.70646667,7.7
"2198","BI2011.84",2138,"BI2011",84,1,"2011-06-26",2011,24,-66.598625,43.90615,3,"Digby gear",-77.76850128,7.9
"2199","BI2011.85",2139,"BI2011",85,1,"2011-06-26",2011,24,-66.54375833,43.90521667,3,"Digby gear",-71.90156555,8.1
"2200","BI2011.86",2140,"BI2011",86,1,"2011-06-26",2011,24,-66.47869167,43.9289,3,"Digby gear",-80.62046814,8.2
"2201","BI2011.87",2141,"BI2011",87,5,"2011-06-26",2011,24,-66.456075,43.94156667,3,"Digby gear",-81.74703979,8.2
"2202","BI2011.88",2142,"BI2011",88,1,"2011-06-26",2011,24,-66.44553333,43.94369167,3,"Digby gear",-74.22190094,8.2
"2203","BI2011.89",2143,"BI2011",89,1,"2011-06-26",2011,24,-66.4231,43.925075,3,"Digby gear",-61.52066803,8.3
"2204","BI2011.9",2063,"BI2011",9,1,"2011-06-20",2011,22,-66.15939167,44.36291667,3,"Digby gear",-26.98341942,8.8
"2205","BI2011.90",2144,"BI2011",90,1,"2011-06-26",2011,24,-66.33391667,43.94358333,3,"Digby gear",-45.95648956,9.3
"2206","BI2011.91",2145,"BI2011",91,5,"2011-06-27",2011,24,-66.32533333,43.95581667,3,"Digby gear",-31.61442375,9.7
"2207","BI2011.92",2146,"BI2011",92,1,"2011-06-27",2011,24,-66.37698333,43.99415,3,"Digby gear",-62.7306366,8.5
"2208","BI2011.93",2147,"BI2011",93,1,"2011-06-27",2011,23,-66.37045833,44.01003333,3,"Digby gear",-56.49170303,8.4
"2209","BI2011.94",2148,"BI2011",94,1,"2011-06-27",2011,24,-66.3276,43.98571667,3,"Digby gear",-27.8061161,9.8
"2210","BI2011.95",2149,"BI2011",95,1,"2011-06-27",2011,24,-66.331675,43.97484167,3,"Digby gear",-38.88212204,9.9
"2211","BI2011.96",2150,"BI2011",96,1,"2011-06-27",2011,24,-66.32194167,43.96165833,3,"Digby gear",-30.56601334,9.8
"2212","BI2011.97",2151,"BI2011",97,5,"2011-06-27",2011,24,-66.29739167,43.97538333,3,"Digby gear",-25.83162498,10
"2213","BI2011.98",2152,"BI2011",98,1,"2011-06-27",2011,24,-66.29601667,43.95866667,3,"Digby gear",-28.9783802,9.9
"2214","BI2011.99",2153,"BI2011",99,1,"2011-06-27",2011,24,-66.28191667,43.92398333,3,"Digby gear",-34.97898483,9.7
"2215","BI2012.1",2215,"BI2012",1,1,"2012-06-18",2012,23,-66.50316667,44.22843333,1,"Miracle gear with teeth",-80.01000214,9.6
"2216","BI2012.10",2224,"BI2012",10,1,"2012-06-19",2012,23,-66.73035,44.07278333,1,"Miracle gear with teeth",-114.5599976,8.8
"2217","BI2012.100",2314,"BI2012",100,1,"2012-06-23",2012,24,-66.25295,43.78905,1,"Miracle gear with teeth",-41.07722092,11.3
"2218","BI2012.101",2315,"BI2012",101,1,"2012-06-23",2012,24,-66.24218333,43.80241667,1,"Miracle gear with teeth",-43.95849991,11.3
"2219","BI2012.102",2316,"BI2012",102,5,"2012-06-23",2012,24,-66.278875,43.814175,1,"Miracle gear with teeth",-56.97019959,11.2
"2220","BI2012.103",2317,"BI2012",103,1,"2012-06-23",2012,24,-66.29011667,43.83449167,1,"Miracle gear with teeth",-50.33772659,11
"2221","BI2012.104",2318,"BI2012",104,1,"2012-06-23",2012,24,-66.24555833,43.86611667,1,"Miracle gear with teeth",-36.86429214,11.5
"2222","BI2012.105",2319,"BI2012",105,1,"2012-06-23",2012,24,-66.25725833,43.87825,1,"Miracle gear with teeth",-35.71431351,11.5
"2223","BI2012.106",2320,"BI2012",106,1,"2012-06-23",2012,24,-66.32423333,43.920425,1,"Miracle gear with teeth",-46.12431717,10.9
"2224","BI2012.107",2321,"BI2012",107,1,"2012-06-23",2012,24,-66.32219167,43.90616667,1,"Miracle gear with teeth",-47.35336304,11
"2225","BI2012.108",2322,"BI2012",108,1,"2012-06-23",2012,24,-66.31284167,43.88518333,1,"Miracle gear with teeth",-55.13027191,11.2
"2226","BI2012.109",2323,"BI2012",109,1,"2012-06-23",2012,24,-66.33876667,43.88304167,1,"Miracle gear with teeth",-58.63832855,10.9
"2227","BI2012.11",2225,"BI2012",11,1,"2012-06-19",2012,23,-66.73046667,44.09465,1,"Miracle gear with teeth",-98.83000183,8.8
"2228","BI2012.110",2324,"BI2012",110,1,"2012-06-23",2012,24,-66.30795833,43.83665,1,"Miracle gear with teeth",-48.19436264,11.1
"2229","BI2012.111",2325,"BI2012",111,5,"2012-06-23",2012,24,-66.34430833,43.834125,1,"Miracle gear with teeth",-59.83369064,10.9
"2230","BI2012.112",2326,"BI2012",112,1,"2012-06-23",2012,24,-66.35564167,43.81570833,1,"Miracle gear with teeth",-58.97184753,10.7
"2231","BI2012.113",2327,"BI2012",113,5,"2012-06-23",2012,24,-66.40354167,43.82129167,1,"Miracle gear with teeth",-60.20379257,10.5
"2232","BI2012.114",2328,"BI2012",114,1,"2012-06-23",2012,24,-66.34348333,43.76908333,1,"Miracle gear with teeth",-57.55742645,10.3
"2233","BI2012.115",2329,"BI2012",115,1,"2012-06-23",2012,24,-66.33138333,43.69594167,1,"Miracle gear with teeth",-59.79101181,10
"2234","BI2012.116",2330,"BI2012",116,1,"2012-06-24",2012,24,-66.323575,43.68015,1,"Miracle gear with teeth",-62.94656372,10
"2235","BI2012.117",2331,"BI2012",117,1,"2012-06-24",2012,24,-66.38114167,43.69995,1,"Miracle gear with teeth",-77.0661087,9.9
"2236","BI2012.118",2332,"BI2012",118,1,"2012-06-24",2012,24,-66.38269167,43.67175,1,"Miracle gear with teeth",-73.8825531,9.8
"2237","BI2012.119",2333,"BI2012",119,3,"2012-06-24",2012,24,-66.36630833,43.677175,1,"Miracle gear with teeth",-77.10653687,9.9
"2238","BI2012.12",2226,"BI2012",12,5,"2012-06-19",2012,23,-66.5294,44.1886,1,"Miracle gear with teeth",-83.23000336,9.4
"2239","BI2012.120",2334,"BI2012",120,3,"2012-06-24",2012,24,-66.38134167,43.6877,1,"Miracle gear with teeth",-76.57504272,9.9
"2240","BI2012.121",2335,"BI2012",121,3,"2012-06-24",2012,24,-66.39488333,43.67306667,1,"Miracle gear with teeth",-77.44487,9.8
"2241","BI2012.122",2336,"BI2012",122,1,"2012-06-24",2012,24,-66.47761667,43.69956667,1,"Miracle gear with teeth",-85.86016083,9.6
"2242","BI2012.123",2337,"BI2012",123,3,"2012-06-24",2012,24,-66.39766667,43.71689167,1,"Miracle gear with teeth",-76.89743042,9.8
"2243","BI2012.124",2338,"BI2012",124,1,"2012-06-24",2012,24,-66.46499167,43.78370833,1,"Miracle gear with teeth",-68.2230835,9.6
"2244","BI2012.125",2339,"BI2012",125,5,"2012-06-24",2012,24,-66.47951667,43.80048333,1,"Miracle gear with teeth",-75.67983246,9.5
"2245","BI2012.126",2340,"BI2012",126,1,"2012-06-24",2012,24,-66.46078333,43.90835833,1,"Miracle gear with teeth",-64.29846954,10.1
"2246","BI2012.127",2341,"BI2012",127,1,"2012-06-24",2012,24,-66.44141667,43.92875,1,"Miracle gear with teeth",-73.88503265,10.2
"2247","BI2012.128",2342,"BI2012",128,5,"2012-06-24",2012,24,-66.44506667,43.94593333,1,"Miracle gear with teeth",-77.00958252,10
"2248","BI2012.129",2343,"BI2012",129,1,"2012-06-24",2012,24,-66.40235833,43.99490833,1,"Miracle gear with teeth",-67.15109253,10.1
